StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,1_B1,1_P1,1_S2,2_B1,2_P1,2_S2,3_B1,3_P1,3_S2,4_B1,4_P1,4_S2,5_B1,5_P1,5_S2,6_B1,6_P1,6_S2,7_B1,7_P1,7_S2,8_B1,8_P1,8_S2,9_B1,9_P1,9_S2,10_B1,10_P1,10_S2,11_B1,11_P1,11_S2,12_B1,12_P1,12_S2,13_B1,13_P1,13_S2,14_B1,14_P1,14_S2,15_B1,15_P1,15_S2,16_B1,16_P1,16_S2,17_B1,17_P1,17_S2,18_B1,18_P1,18_S2,19_B1,19_P1,19_S2,20_B1,20_P1,20_S2,check_77,lotr_1,lotr_2,lotr_3,lotr_4,lotr_5,lotr_6,lotr_7,lotr_8,lotr_9,lotr_10,age,gender,marital
2021-12-14T11:46:47Z,2021-12-14T11:51:15Z,IP Address,100,268,TRUE,2021-12-14T11:51:16Z,R_DD0vHz3bTdnGamR,anonymous,EN,I consent to participate in this study.,45,10,30,15,5,15,10,2,2,10,5,5,15,1,1,25,10,10,15,10,20,50,2,2,25,15,25,30,10,1,40,100,100,3,5,10,40,80,70,5,1,1,2,2,10,2,2,1,15,100,100,15,70,75,30,75,15,50,50,25,77,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,44,Man,Married
2021-12-14T11:47:15Z,2021-12-14T11:51:55Z,IP Address,100,279,TRUE,2021-12-14T11:51:55Z,R_ukrxWV41E8q4Pvz,anonymous,EN,I consent to participate in this study.,30,30,60,55,50,50,5,3,15,30,30,15,15,15,15,5,5,15,15,10,20,20,15,15,25,25,40,10,5,3,15,15,65,3,3,5,40,10,15,40,40,10,75,85,70,4,2,1,50,30,35,60,50,15,25,15,5,40,50,25,77,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,22,Woman,Never married
2021-12-14T11:47:16Z,2021-12-14T11:52:43Z,IP Address,100,327,TRUE,2021-12-14T11:52:44Z,R_3p3bx30Dz2BOp6Q,anonymous,EN,I consent to participate in this study.,30,30,75,70,80,40,35,30,30,30,30,18,5,5,15,1,1,20,20,20,40,50,40,50,10,10,50,5,5,3,50,50,80,2,2,10,40,50,50,1,1,1,20,50,50,1,1,1,40,60,65,20,20,20,10,10,9,75,75,20,77,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,24,Woman,Married
2021-12-14T11:46:57Z,2021-12-14T11:53:00Z,IP Address,100,362,TRUE,2021-12-14T11:53:00Z,R_2sTEX533KD8DuEr,anonymous,EN,I consent to participate in this study.,2,1,10,50,50,40,10,8,20,45,40,18,2,2,15,1,1,1,20,20,25,25,21,40,20,20,65,10,10,3,75,80,80,8,8,11,50,50,50,5,2,2,30,25,25,1,1,1,15,10,50,15,12,15,4,5,5,50,80,60,77,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,33,Man,Never married
2021-12-14T11:47:03Z,2021-12-14T11:53:10Z,IP Address,100,367,TRUE,2021-12-14T11:53:10Z,R_31tP3QyzSSgb7PI,anonymous,EN,I consent to participate in this study.,60,100,100,60,40,40,60,10,5,70,80,50,10,10,10,60,100,100,30,20,60,60,100,100,10,5,20,60,80,30,40,100,100,30,10,5,10,5,5,10,50,50,20,5,5,5,1,1,20,0,0,10,0,0,5,0,0,5,20,20,77,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,42,Woman,Divorced
2021-12-14T11:48:08Z,2021-12-14T11:53:14Z,IP Address,100,306,TRUE,2021-12-14T11:53:14Z,R_3EOpOWJgbEVEWmB,anonymous,EN,I consent to participate in this study.,15,15,76,50,50,41,25,25,30,20,20,18,25,25,17,10,10,26,10,10,40,50,50,45,25,25,65,15,30,6,50,25,40,10,10,10,40,65,65,20,15,2,50,40,15,2,2,1,60,60,60,40,40,20,10,10,9,25,30,27,77,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,27,Woman,Never married
2021-12-14T11:46:19Z,2021-12-14T11:53:43Z,IP Address,100,444,TRUE,2021-12-14T11:53:43Z,R_2D6A2K1xLG7ayxd,anonymous,EN,I consent to participate in this study.,30,20,50,40,35,35,30,15,25,20,15,15,30,30,15,35,30,20,66,70,60,55,55,50,55,50,60,35,30,2,45,45,70,15,15,10,40,70,65,10,1,1,25,20,20,1,1,1,60,65,65,40,50,25,1,1,5,1,5,20,77,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,31,Woman,Never married
2021-12-14T11:46:14Z,2021-12-14T11:53:50Z,IP Address,100,455,TRUE,2021-12-14T11:53:50Z,R_2c1Td9BevkBGgjB,anonymous,EN,I consent to participate in this study.,35,30,50,50,50,40,60,60,25,25,20,15,50,50,25,5,5,5,70,70,20,48,10,15,30,10,30,45,30,10,15,100,100,70,70,15,30,0,40,0,0,0,25,50,30,1,0,1,100,100,100,25,100,100,25,80,80,0,0,20,77,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,39,Woman,Married
2021-12-14T11:46:30Z,2021-12-14T11:53:54Z,IP Address,100,443,TRUE,2021-12-14T11:53:54Z,R_1M4HaYfNvjDMBYy,anonymous,EN,I consent to participate in this study.,20,0,0,15,15,20,10,7,15,15,20,15,10,15,14,15,20,20,35,30,30,50,0,0,30,30,40,35,30,10,25,5,10,5,15,9,45,35,35,3,0,0,40,15,15,10,10,2,30,0,0,1,0,0,1,0,0,30,30,19,77,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Somewhat agree,36,Man,Never married
2021-12-14T11:47:16Z,2021-12-14T11:54:06Z,IP Address,100,409,TRUE,2021-12-14T11:54:06Z,R_wRVWBQpcPyfbOmZ,anonymous,EN,I consent to participate in this study.,95,95,80,5,1,5,5,2,10,5,2,2,10,1,10,50,95,26,5,2,2,15,2,10,5,5,45,5,2,2,80,90,90,20,60,20,20,60,60,2,5,5,60,1,22,15,25,5,50,90,90,40,55,20,1,1,9,50,99,90,75,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,54,Woman,Other
2021-12-14T11:46:40Z,2021-12-14T11:54:07Z,IP Address,100,446,TRUE,2021-12-14T11:54:07Z,R_1E74nAzVhsddT0m,anonymous,EN,I consent to participate in this study.,25,25,80,69,78,67,65,75,40,30,30,30,45,65,26,65,78,50,85,80,50,45,10,5,60,90,100,40,50,10,59,100,100,40,30,9,45,0,0,15,0,0,49,0,0,10,0,0,48,100,100,10,0,0,5,0,0,20,0,0,77,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Somewhat agree,Strongly disagree,Neutral,Strongly disagree,29,Woman,Married
2021-12-14T11:46:21Z,2021-12-14T11:54:10Z,IP Address,100,469,TRUE,2021-12-14T11:54:11Z,R_AsSfkkmMzeiOVcl,anonymous,EN,I consent to participate in this study.,15,0,50,5,10,40,40,60,30,5,1,5,20,40,20,3,0,10,10,5,25,50,0,0,50,100,100,60,50,1,15,0,0,35,50,30,50,90,90,50,0,1,10,0,0,1,5,5,40,100,100,40,30,10,2,30,2,5,0,20,77,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,56,Man,Married
2021-12-14T11:46:39Z,2021-12-14T11:54:18Z,IP Address,100,458,TRUE,2021-12-14T11:54:18Z,R_3Mg1Td8LLXETFQW,anonymous,EN,I consent to participate in this study.,15,10,20,60,70,50,35,45,35,35,30,25,40,30,20,10,5,10,25,20,40,25,0,0,35,30,55,30,25,10,40,80,80,15,10,8,40,30,30,5,1,1,60,70,50,2,0,0,40,0,0,40,70,70,20,10,7,40,30,25,77,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,40,Man,Married
2021-12-14T11:49:55Z,2021-12-14T11:54:24Z,IP Address,100,268,TRUE,2021-12-14T11:54:24Z,R_3HNCv9g1ReXWdbe,anonymous,EN,I consent to participate in this study.,25,25,75,25,25,35,10,10,30,35,25,18,10,5,15,10,10,20,35,30,40,35,35,45,5,5,50,20,10,3,85,40,40,20,20,10,50,75,80,1,1,1,10,2,5,5,5,1,50,50,60,25,35,15,20,5,4,50,50,25,77,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,27,Man,Never married
2021-12-14T11:48:48Z,2021-12-14T11:54:52Z,IP Address,100,363,TRUE,2021-12-14T11:54:52Z,R_3nc4A2SFawsXMdL,anonymous,EN,I consent to participate in this study.,50,35,45,50,60,50,45,50,45,15,25,25,35,45,20,25,5,5,33,60,60,45,25,25,5,15,70,65,30,5,50,85,95,10,2,3,30,90,90,15,40,15,30,65,50,3,1,1,75,100,96,50,100,86,1,15,15,40,90,65,77,Neutral,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,28,Man,Never married
